N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+201,-0.00117551,4,-0.00235102,-60.95185265,2.734571e-05,21.747,17.565,17.565,0.0,-0.00235102,-0.00235102,-0.00352653,-49.49949728646564,-60.951852660000014
2mer-0+194,-0.00184671,4,-0.00369341,-60.95554606,2.721812e-05,21.747,17.592,17.592,0.0,-0.00369342,-0.00369342,-0.005540130000000001,-49.50319070646564,-60.95554608000001
2mer-0+319,7.858e-05,2,7.858e-05,-60.95546748,2.714497e-05,22.197,17.608,17.608,0.0,7.858e-05,7.858e-05,0.00023574,-49.50311212646564,-60.95546750000001
2mer-0+326,-0.00071726,4,-0.00143452,-60.956902,2.683544e-05,21.289,17.675,17.675,0.0,-0.00143452,-0.00143452,-0.00215178,-49.504546646465634,-60.95690202000001
2mer-0+359,-0.00199936,2,-0.00199936,-60.95890136,2.609851e-05,21.725,17.84,17.84,0.0,-0.00199936,-0.00199936,-0.005998079999999999,-49.50654600646563,-60.95890138000001
2mer-0+277,0.00078912,4,0.00157825,-60.95732311,2.573556e-05,21.016,17.924,17.924,0.0,0.00157824,0.00157824,0.00236736,-49.50496776646563,-60.95732314000001
2mer-0+323,0.00065467,4,0.00130934,-60.95601378,2.516062e-05,21.289,18.059,18.059,0.0,0.00130934,0.00130934,0.00196401,-49.503658426465634,-60.95601380000001
2mer-0+329,-0.00254544,4,-0.00509087,-60.96110465,2.508322e-05,21.111,18.078,18.078,0.0,-0.00509088,-0.00509088,-0.00763632,-49.50874930646563,-60.961104680000005
2mer-0+218,-0.00310824,2,-0.00310824,-60.96421289,2.493547e-05,21.353,18.113,18.113,0.0,-0.00310824,-0.00310824,-0.00932472,-49.511857546465635,-60.96421292000001
2mer-0+265,-0.00012889,4,-0.00025778,-60.96447067,2.444557e-05,22.857,18.233,18.233,0.0,-0.00025778,-0.00025778,-0.00038667,-49.51211532646563,-60.96447070000001
2mer-0+249,-0.00138595,4,-0.00277189,-60.96724257,2.442986e-05,22.54,18.237,18.237,0.0,-0.0027719,-0.0027719,-0.004157849999999999,-49.51488722646563,-60.967242600000006
2mer-0+228,-0.00077192,4,-0.00154385,-60.96878641,2.371018e-05,22.123,18.42,18.42,0.0,-0.00154384,-0.00154384,-0.00231576,-49.51643106646563,-60.96878644
2mer-0+332,-0.002327,2,-0.002327,-60.97111341,2.367988e-05,22.497,18.428,18.428,0.0,-0.002327,-0.002327,-0.006981,-49.51875806646563,-60.97111344
2mer-0+251,-0.0025238,4,-0.00504761,-60.97616102,2.358647e-05,22.125,18.452,18.452,0.0,-0.0050476,-0.0050476,-0.007571400000000001,-49.52380566646563,-60.97616104
2mer-0+362,4.834e-05,4,9.668e-05,-60.97606433,2.348031e-05,23.032,18.48,18.48,0.0,9.668e-05,9.668e-05,0.00014502,-49.52370898646563,-60.97606436
2mer-0+288,-0.00116513,4,-0.00233026,-60.9783946,2.271702e-05,22.393,18.685,18.685,0.0,-0.00233026,-0.00233026,-0.0034953899999999997,-49.52603924646563,-60.97839462
2mer-0+291,-0.00076541,4,-0.00153083,-60.97992542,2.231722e-05,23.326,18.796,18.796,0.0,-0.00153082,-0.00153082,-0.00229623,-49.52757006646563,-60.97992544
2mer-0+398,-0.00269674,2,-0.00269674,-60.98262216,2.214468e-05,22.17,18.844,18.844,0.0,-0.00269674,-0.00269674,-0.00809022,-49.530266806465626,-60.98262218
2mer-0+260,-0.00025777,2,-0.00025777,-60.98287993,2.187407e-05,23.248,18.922,18.922,0.0,-0.00025777,-0.00025777,-0.0007733099999999999,-49.53052457646562,-60.98287995
2mer-0+431,-0.00165877,2,-0.00165877,-60.98453871,2.170273e-05,23.192,18.971,18.971,0.0,-0.00165877,-0.00165877,-0.004976309999999999,-49.53218334646562,-60.984538719999996
2mer-0+390,-0.00055344,2,-0.00055344,-60.98509214,2.131605e-05,23.68,19.085,19.085,0.0,-0.00055344,-0.00055344,-0.0016603199999999999,-49.53273678646562,-60.985092159999994
2mer-0+368,-0.0021825,4,-0.00436499,-60.98945714,2.116914e-05,22.919,19.129,19.129,0.0,-0.004365,-0.004365,-0.0065474999999999995,-49.53710178646562,-60.98945715999999
2mer-0+241,3.236e-05,4,6.473e-05,-60.98939241,2.112878e-05,23.795,19.142,19.142,0.0,6.472e-05,6.472e-05,9.708000000000001e-05,-49.53703706646562,-60.989392439999996
2mer-0+314,-0.0015199,4,-0.00303979,-60.9924322,2.112557e-05,23.117,19.142,19.142,0.0,-0.0030398,-0.0030398,-0.0045597,-49.540076866465625,-60.99243224
2mer-0+242,-0.00086853,4,-0.00173707,-60.99416927,2.094952e-05,23.838,19.196,19.196,0.0,-0.00173706,-0.00173706,-0.0026055899999999996,-49.54181392646563,-60.9941693
2mer-0+269,-0.00183962,4,-0.00367923,-60.9978485,2.074088e-05,22.54,19.26,19.26,0.0,-0.00367924,-0.00367924,-0.0055188599999999996,-49.545493166465626,-60.99784854
2mer-0+280,-0.00040561,2,-0.00040561,-60.99825411,2.042901e-05,23.946,19.358,19.358,0.0,-0.00040561,-0.00040561,-0.00121683,-49.54589877646563,-60.99825415
2mer-0+339,-0.00200804,2,-0.00200804,-61.00026215,2.014296e-05,22.197,19.449,19.449,0.0,-0.00200804,-0.00200804,-0.00602412,-49.54790681646563,-61.00026219
2mer-0+358,0.0023012,2,0.0023012,-60.99796095,2.013729e-05,20.099,19.451,19.451,0.0,0.0023012,0.0023012,0.006903600000000001,-49.54560561646563,-60.99796099
2mer-0+346,-0.00229428,2,-0.00229428,-61.00025523,2.013434e-05,22.497,19.452,19.452,0.0,-0.00229428,-0.00229428,-0.00688284,-49.54789989646563,-61.000255270000004
2mer-0+370,-0.00159162,2,-0.00159162,-61.00184685,2.006132e-05,23.68,19.475,19.475,0.0,-0.00159162,-0.00159162,-0.00477486,-49.54949151646563,-61.00184689
2mer-0+320,0.00016724,2,0.00016724,-61.00167962,1.979397e-05,24.394,19.562,19.562,0.0,0.00016724,0.00016724,0.00050172,-49.549324276465626,-61.00167965
2mer-0+318,-0.00054934,4,-0.00109868,-61.0027783,1.967131e-05,23.259,19.603,19.603,0.0,-0.00109868,-0.00109868,-0.00164802,-49.550422956465624,-61.00277833
2mer-0+317,-0.00271237,4,-0.00542475,-61.00820305,1.963653e-05,22.393,19.615,19.615,0.0,-0.00542474,-0.00542474,-0.00813711,-49.55584769646563,-61.00820307
2mer-0+285,-0.00201709,2,-0.00201709,-61.01022014,1.909035e-05,23.248,19.8,19.8,0.0,-0.00201709,-0.00201709,-0.00605127,-49.55786478646563,-61.01022016
2mer-0+297,-0.00075395,4,-0.0015079,-61.01172804,1.893315e-05,24.128,19.855,19.855,0.0,-0.0015079,-0.0015079,-0.00226185,-49.55937268646563,-61.01172806
2mer-0+416,-0.00090119,2,-0.00090119,-61.01262923,1.887039e-05,21.725,19.877,19.877,0.0,-0.00090119,-0.00090119,-0.0027035699999999998,-49.56027387646563,-61.01262925
