N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+219,0.00611582,2,0.00611582,-39.12591161,0.0001011758,12.274,11.356,11.356,0.0,0.00611582,0.00611582,0.01834746,-39.79560369326813,-39.12591155499998,0.0
2mer-0+205,0.0915089,2,0.0915089,-39.03440272,0.0001010609,12.758,11.361,11.361,0.0,0.0915089,0.0915089,0.2745267,-39.704094793268126,-39.03440265499998,0.0
2mer-0+178,0.0501771,2,0.0501771,-38.98422561,0.0001009891,12.773,11.363,11.363,0.0,0.0501771,0.0501771,0.1505313,-39.65391769326813,-38.98422555499998,0.0
2mer-0+171,0.04400228,2,0.04400228,-38.94022333,0.0001000362,11.447,11.399,11.399,0.0,0.04400228,0.04400228,0.13200684,-39.609915413268126,-38.94022327499998,0.0
2mer-0+179,0.0280116,4,0.05602319,-38.88420014,9.926285e-05,12.006,11.429,11.429,0.0,0.0560232,0.0560232,0.0840348,-39.55389221326813,-38.88420007499998,0.0
2mer-0+214,-0.13139378,1,-0.06569689,-38.94989703,9.734214e-05,11.96,11.504,11.504,0.0,-0.06569689,-0.06569689,-0.39418133999999994,-39.619589103268126,-38.94989696499998,0.0
2mer-0+185,0.09147094,4,0.18294189,-38.76695514,9.722746e-05,11.712,11.508,11.508,0.0,0.18294188,0.18294188,0.27441282,-39.436647223268125,-38.76695508499998,0.0
2mer-0+244,-0.05529215,2,-0.05529215,-38.82224729,9.571663e-05,12.483,11.568,11.568,0.0,-0.05529215,-0.05529215,-0.16587645,-39.491939373268124,-38.82224723499998,0.0
2mer-0+191,0.08956852,2,0.08956852,-38.73267877,9.561424e-05,12.526,11.572,11.572,0.0,0.08956852,0.08956852,0.26870556,-39.402370853268124,-38.73267871499998,0.0
2mer-0+260,0.00822116,2,0.00822116,-38.72445761,9.40853e-05,12.245,11.635,11.635,0.0,0.00822116,0.00822116,0.02466348,-39.394149693268126,-38.72445755499998,0.0
2mer-0+229,-0.18942598,1,-0.09471299,-38.8191706,9.208456e-05,12.256,11.719,11.719,0.0,-0.09471299,-0.09471299,-0.56827794,-39.488862683268124,-38.81917054499998,0.0
2mer-0+253,-0.09870504,2,-0.09870504,-38.91787564,9.00241e-05,12.17,11.807,11.807,0.0,-0.09870504,-0.09870504,-0.29611511999999995,-39.58756772326812,-38.917875584999976,0.0
2mer-0+220,0.0240104,4,0.0480208,-38.86985484,8.998429e-05,12.229,11.809,11.809,0.0,0.0480208,0.0480208,0.0720312,-39.53954692326812,-38.86985478499997,0.0
2mer-0+232,0.02972194,2,0.02972194,-38.8401329,8.956271e-05,12.77,11.827,11.827,0.0,0.02972194,0.02972194,0.08916581999999999,-39.50982498326812,-38.84013284499997,0.0
2mer-0+239,-0.05139545,2,-0.05139545,-38.89152835,8.883313e-05,12.761,11.86,11.86,0.0,-0.05139545,-0.05139545,-0.15418635,-39.56122043326812,-38.89152829499997,0.0
2mer-0+201,0.09957704,2,0.09957704,-38.79195132,8.767248e-05,12.304,11.912,11.912,0.0,0.09957704,0.09957704,0.29873112,-39.46164339326812,-38.79195125499997,0.0
2mer-0+217,-0.05509199,2,-0.05509199,-38.8470433,8.721995e-05,12.569,11.932,11.932,0.0,-0.05509199,-0.05509199,-0.16527597,-39.51673538326812,-38.84704324499997,0.0
2mer-0+249,-0.12483404,2,-0.12483404,-38.97187735,8.687665e-05,12.814,11.948,11.948,0.0,-0.12483404,-0.12483404,-0.37450212,-39.64156942326812,-38.97187728499998,0.0
2mer-0+227,-0.01572688,2,-0.01572688,-38.98760422,8.388564e-05,12.29,12.088,12.088,0.0,-0.01572688,-0.01572688,-0.047180639999999996,-39.657296303268126,-38.98760416499998,0.0
2mer-0+238,-0.03311546,2,-0.03311546,-39.02071968,8.367257e-05,13.019,12.099,12.099,0.0,-0.03311546,-0.03311546,-0.09934638,-39.69041176326812,-39.02071962499998,0.0
2mer-0+231,0.0758333,2,0.0758333,-38.94488638,8.318253e-05,13.545,12.122,12.122,0.0,0.0758333,0.0758333,0.22749990000000003,-39.614578463268124,-38.94488632499998,0.0
2mer-0+283,-0.03481967,1,-0.01740983,-38.96229622,8.309678e-05,12.733,12.127,12.127,0.0,-0.017409835,-0.017409835,-0.10445900999999999,-39.631988298268126,-38.96229615999998,0.0
2mer-0+228,-0.05543363,2,-0.05543363,-39.01772985,8.304549e-05,12.818,12.129,12.129,0.0,-0.05543363,-0.05543363,-0.16630088999999998,-39.68742192826813,-39.01772978999998,0.0
2mer-0+271,0.06684177,2,0.06684177,-38.95088807,8.283846e-05,13.06,12.139,12.139,0.0,0.06684177,0.06684177,0.20052530999999998,-39.620580158268126,-38.95088801999998,0.0
2mer-0+261,-0.03909615,1,-0.01954808,-38.97043615,8.261127e-05,12.846,12.15,12.15,0.0,-0.019548075,-0.019548075,-0.11728845000000002,-39.64012823326813,-38.97043609499998,0.0
2mer-0+294,-0.11938486,2,-0.11938486,-39.08982101,8.13449e-05,12.786,12.213,12.213,0.0,-0.11938486,-0.11938486,-0.35815458,-39.759513093268126,-39.08982095499998,0.0
2mer-0+269,-0.07556966,2,-0.07556966,-39.16539067,8.013701e-05,12.784,12.274,12.274,0.0,-0.07556966,-0.07556966,-0.22670898,-39.835082753268125,-39.16539061499998,0.0
2mer-0+245,0.03471961,2,0.03471961,-39.13067106,8.008824e-05,12.798,12.277,12.277,0.0,0.03471961,0.03471961,0.10415883,-39.80036314326812,-39.130671004999975,0.0
2mer-0+255,-0.08564571,4,-0.17129142,-39.30196249,8.007384e-05,13.008,12.277,12.277,0.0,-0.17129142,-0.17129142,-0.25693713,-39.971654563268125,-39.30196242499998,0.0
2mer-0+222,-0.04692396,2,-0.04692396,-39.34888645,7.957225e-05,13.066,12.303,12.303,0.0,-0.04692396,-0.04692396,-0.14077188000000002,-40.018578523268125,-39.34888638499998,0.0
2mer-0+265,-0.11450708,4,-0.22901416,-39.57790061,7.801422e-05,13.022,12.384,12.384,0.0,-0.22901416,-0.22901416,-0.34352124,-40.247592683268124,-39.57790054499998,0.0
2mer-0+235,0.09183875,2,0.09183875,-39.48606186,7.628626e-05,12.843,12.477,12.477,0.0,0.09183875,0.09183875,0.27551625,-40.15575393326812,-39.486061794999976,0.0
2mer-0+240,0.04931949,2,0.04931949,-39.43674237,7.62586e-05,12.829,12.479,12.479,0.0,0.04931949,0.04931949,0.14795847,-40.10643444326812,-39.436742304999974,0.0
