N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+428,0.04020049,1,0.02010025,-38.21856123,5.461682e-05,14.537,13.947,13.947,0
2mer-0+335,-0.08261238,2,-0.08261238,-38.30117361,5.457353e-05,14.538,13.951,13.951,0
2mer-0+410,0.04729519,1,0.02364759,-38.27752601,5.415143e-05,14.752,13.987,13.987,0
2mer-0+373,-0.11017097,2,-0.11017097,-38.38769698,5.41511e-05,14.752,13.987,13.987,0
2mer-0+338,0.02188655,2,0.02188655,-38.36581043,5.402133e-05,14.098,13.998,13.998,0
2mer-0+390,0.01324638,4,0.02649277,-38.33931766,5.278555e-05,15.154,14.107,14.107,0
2mer-0+368,-0.09242169,4,-0.18484339,-38.52416105,5.266387e-05,14.989,14.118,14.118,0
2mer-0+359,-0.03248238,4,-0.06496476,-38.58912581,5.214659e-05,14.541,14.164,14.164,0
2mer-0+418,-0.03745307,2,-0.03745307,-38.62657888,5.200831e-05,14.962,14.177,14.177,0
2mer-0+363,0.03598226,2,0.03598226,-38.59059663,5.196088e-05,14.986,14.181,14.181,0
2mer-0+371,0.05307613,4,0.10615225,-38.48444437,5.195286e-05,15.415,14.182,14.182,0
2mer-0+350,0.07932603,2,0.07932603,-38.40511834,5.12754e-05,14.38,14.244,14.244,0
2mer-0+369,-0.01301551,4,-0.02603102,-38.43114936,5.109369e-05,14.989,14.261,14.261,0
2mer-0+379,-0.01833721,1,-0.00916861,-38.44031797,5.078541e-05,14.34,14.29,14.29,0
2mer-0+391,-0.03625236,2,-0.03625236,-38.47657033,5.016052e-05,15.01,14.349,14.349,0
2mer-0+461,0.06559148,2,0.06559148,-38.41097885,4.958704e-05,15.152,14.404,14.404,0
2mer-0+362,0.03054879,4,0.06109758,-38.34988127,4.936008e-05,15.64,14.426,14.426,0
2mer-0+380,0.0504573,2,0.0504573,-38.29942398,4.91939e-05,15.223,14.442,14.442,0
2mer-0+421,0.00695395,2,0.00695395,-38.29247003,4.893646e-05,14.72,14.467,14.467,0
2mer-0+376,-0.02232714,2,-0.02232714,-38.31479716,4.832727e-05,15.441,14.528,14.528,0
2mer-0+393,0.10596523,2,0.10596523,-38.20883193,4.818269e-05,14.617,14.542,14.542,0
2mer-0+443,-0.04562641,2,-0.04562641,-38.25445835,4.759658e-05,15.393,14.602,14.602,0
2mer-0+422,0.01931906,2,0.01931906,-38.23513929,4.758987e-05,15.427,14.603,14.603,0
2mer-0+397,-0.09197937,4,-0.18395875,-38.41909804,4.700746e-05,15.415,14.663,14.663,0
2mer-0+451,0.04179123,2,0.04179123,-38.37730681,4.69876e-05,15.81,14.665,14.665,0
2mer-0+456,0.04769361,2,0.04769361,-38.32961321,4.676079e-05,15.667,14.688,14.688,0
2mer-0+430,0.02005575,2,0.02005575,-38.30955746,4.675385e-05,15.621,14.689,14.689,0
2mer-0+434,-0.04840274,2,-0.04840274,-38.3579602,4.667044e-05,15.463,14.698,14.698,0
2mer-0+495,0.04330366,2,0.04330366,-38.31465653,4.587358e-05,16.02,14.782,14.782,0
2mer-0+515,0.08874001,1,0.04437,-38.27028653,4.571486e-05,15.791,14.8,14.8,0
2mer-0+447,0.0101773,2,0.0101773,-38.26010923,4.571486e-05,15.837,14.8,14.8,0
2mer-0+472,-0.01551016,4,-0.03102032,-38.29112955,4.56151e-05,15.789,14.81,14.81,0
