N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+140,0.01597222,2,0.01597222,-34.28410677,0.000149317,10.776,9.975,9.975,0.0,0.01597222,0.01597222,0.04791666,-33.68469344511233,-34.28410682499999,0.0
2mer-0+151,-0.27127039,2,-0.27127039,-34.55537715,0.0001366512,10.739,10.274,10.274,0.0,-0.27127039,-0.27127039,-0.8138111699999999,-33.95596383511233,-34.555377214999986,0.0
2mer-0+164,0.04987075,2,0.04987075,-34.5055064,0.000135196,11.081,10.311,10.311,0.0,0.04987075,0.04987075,0.14961225,-33.90609308511233,-34.50550646499999,0.0
2mer-0+149,-0.10429284,2,-0.10429284,-34.60979924,0.0001351565,11.065,10.312,10.312,0.0,-0.10429284,-0.10429284,-0.31287852,-34.01038592511233,-34.60979930499999,0.0
2mer-0+154,-0.10992628,2,-0.10992628,-34.71972552,0.0001341423,11.098,10.337,10.337,0.0,-0.10992628,-0.10992628,-0.32977884,-34.120312205112334,-34.71972558499999,0.0
2mer-0+183,0.09534831,4,0.19069662,-34.5290289,0.0001267006,11.873,10.536,10.536,0.0,0.19069662,0.19069662,0.28604493000000003,-33.92961558511234,-34.529028964999995,0.0
2mer-0+155,-0.10052919,4,-0.20105837,-34.73008728,0.0001250017,11.618,10.583,10.583,0.0,-0.20105838,-0.20105838,-0.30158757,-34.13067396511234,-34.730087344999994,0.0
2mer-0+156,0.0046849,4,0.00936981,-34.72071747,0.0001250017,11.618,10.583,10.583,0.0,0.0093698,0.0093698,0.0140547,-34.121304165112335,-34.72071754499999,0.0
2mer-0+172,0.14693544,4,0.29387088,-34.42684659,0.0001241576,11.87,10.607,10.607,0.0,0.29387088,0.29387088,0.44080632,-33.827433285112335,-34.42684666499999,0.0
2mer-0+199,0.06864225,2,0.06864225,-34.35820434,0.0001233407,11.346,10.631,10.631,0.0,0.06864225,0.06864225,0.20592675,-33.75879103511233,-34.35820441499999,0.0
2mer-0+189,-0.08119961,2,-0.08119961,-34.43940395,0.0001233306,11.399,10.631,10.631,0.0,-0.08119961,-0.08119961,-0.24359883000000002,-33.83999064511233,-34.43940402499999,0.0
2mer-0+147,0.06784114,2,0.06784114,-34.37156281,0.0001232416,11.441,10.634,10.634,0.0,0.06784114,0.06784114,0.20352341999999998,-33.77214950511233,-34.37156288499999,0.0
2mer-0+152,0.13015533,2,0.13015533,-34.24140748,0.0001222647,10.739,10.662,10.662,0.0,0.13015533,0.13015533,0.39046599000000004,-33.64199417511233,-34.24140755499999,0.0
2mer-0+150,0.05412574,2,0.05412574,-34.18728174,0.0001209828,10.826,10.699,10.699,0.0,0.05412574,0.05412574,0.16237722,-33.58786843511233,-34.187281814999984,0.0
2mer-0+186,-0.04540282,4,-0.09080564,-34.27808738,0.0001140839,11.333,10.911,10.911,0.0,-0.09080564,-0.09080564,-0.13620846,-33.678674075112326,-34.278087454999984,0.0
2mer-0+148,-0.06938348,4,-0.13876696,-34.41685434,0.0001140737,11.961,10.911,10.911,0.0,-0.13876696,-0.13876696,-0.20815044,-33.817441035112324,-34.41685441499998,0.0
2mer-0+153,-0.07389353,2,-0.07389353,-34.49074787,0.0001134126,11.393,10.932,10.932,0.0,-0.07389353,-0.07389353,-0.22168059,-33.891334565112324,-34.49074794499998,0.0
2mer-0+175,0.20202042,2,0.20202042,-34.28872746,0.0001096182,11.144,11.057,11.057,0.0,0.20202042,0.20202042,0.60606126,-33.68931414511233,-34.288727524999985,0.0
2mer-0+192,0.10592317,2,0.10592317,-34.18280429,0.000107916,12.216,11.115,11.115,0.0,0.10592317,0.10592317,0.31776951,-33.58339097511233,-34.18280435499999,0.0
2mer-0+165,-0.01761295,2,-0.01761295,-34.20041724,0.0001078359,12.231,11.118,11.118,0.0,-0.01761295,-0.01761295,-0.05283884999999999,-33.60100392511233,-34.20041730499999,0.0
2mer-0+166,-0.03193437,4,-0.06386875,-34.26428599,0.0001070144,11.979,11.146,11.146,0.0,-0.06386874,-0.06386874,-0.09580311,-33.66487266511233,-34.264286044999984,0.0
2mer-0+196,-0.10850231,2,-0.10850231,-34.3727883,0.0001054134,11.365,11.202,11.202,0.0,-0.10850231,-0.10850231,-0.32550693,-33.773374975112326,-34.37278835499998,0.0
2mer-0+207,0.03626158,2,0.03626158,-34.33652673,0.0001035413,12.255,11.269,11.269,0.0,0.03626158,0.03626158,0.10878474,-33.737113395112324,-34.33652677499998,0.0
2mer-0+168,0.0744941,4,0.14898819,-34.18753853,0.0001019717,11.979,11.327,11.327,0.0,0.1489882,0.1489882,0.22348229999999997,-33.588125195112326,-34.187538574999984,0.0
2mer-0+219,0.00568633,2,0.00568633,-34.18185221,0.0001011758,12.274,11.356,11.356,0.0,0.00568633,0.00568633,0.01705899,-33.58243886511232,-34.18185224499998,0.0
2mer-0+205,0.09548313,2,0.09548313,-34.08636907,0.0001010609,12.758,11.361,11.361,0.0,0.09548313,0.09548313,0.28644939,-33.486955735112325,-34.08636911499998,0.0
2mer-0+178,0.05213804,2,0.05213804,-34.03423103,0.0001009891,12.773,11.363,11.363,0.0,0.05213804,0.05213804,0.15641412,-33.43481769511232,-34.03423107499998,0.0
2mer-0+171,0.0454932,2,0.0454932,-33.98873784,0.0001000362,11.447,11.399,11.399,0.0,0.0454932,0.0454932,0.13647959999999998,-33.38932449511232,-33.98873787499998,0.0
2mer-0+179,0.03032182,4,0.06064363,-33.9280942,9.926285e-05,12.006,11.429,11.429,0.0,0.06064364,0.06064364,0.09096546,-33.32868085511232,-33.928094234999975,0.0
2mer-0+214,-0.13696502,1,-0.06848251,-33.99657671,9.734214e-05,11.96,11.504,11.504,0.0,-0.06848251,-0.06848251,-0.41089506,-33.39716336511232,-33.99657674499998,0.0
2mer-0+185,0.09458236,4,0.18916472,-33.80741199,9.722746e-05,11.712,11.508,11.508,0.0,0.18916472,0.18916472,0.28374708000000004,-33.20799864511232,-33.80741202499998,0.0
2mer-0+244,-0.05764312,2,-0.05764312,-33.86505511,9.571663e-05,12.483,11.568,11.568,0.0,-0.05764312,-0.05764312,-0.17292936,-33.26564176511232,-33.86505514499998,0.0
2mer-0+191,0.09328446,2,0.09328446,-33.77177065,9.561424e-05,12.526,11.572,11.572,0.0,0.09328446,0.09328446,0.27985338,-33.17235730511232,-33.77177068499998,0.0
2mer-0+260,0.00784696,2,0.00784696,-33.76392368,9.40853e-05,12.245,11.635,11.635,0.0,0.00784696,0.00784696,0.02354088,-33.16451034511232,-33.76392372499998,0.0
2mer-0+229,-0.19753479,1,-0.0987674,-33.86269108,9.208456e-05,12.256,11.719,11.719,0.0,-0.098767395,-0.098767395,-0.59260437,-33.26327774011232,-33.86269111999998,0.0
2mer-0+253,-0.10254688,2,-0.10254688,-33.96523796,9.00241e-05,12.17,11.807,11.807,0.0,-0.10254688,-0.10254688,-0.30764064,-33.36582462011232,-33.96523799999998,0.0
2mer-0+220,0.02444455,4,0.0488891,-33.91634886,8.998429e-05,12.229,11.809,11.809,0.0,0.0488891,0.0488891,0.07333365,-33.316935520112324,-33.91634889999998,0.0
2mer-0+232,0.03083053,2,0.03083053,-33.88551833,8.956271e-05,12.77,11.827,11.827,0.0,0.03083053,0.03083053,0.09249159,-33.28610499011232,-33.88551836999998,0.0
2mer-0+239,-0.05405945,2,-0.05405945,-33.93957778,8.883313e-05,12.761,11.86,11.86,0.0,-0.05405945,-0.05405945,-0.16217835,-33.34016444011232,-33.939577819999975,0.0
2mer-0+201,0.1036472,2,0.1036472,-33.83593058,8.767248e-05,12.304,11.912,11.912,0.0,0.1036472,0.1036472,0.3109416,-33.23651724011232,-33.83593061999998,0.0
2mer-0+217,-0.05742513,2,-0.05742513,-33.89335571,8.721995e-05,12.569,11.932,11.932,0.0,-0.05742513,-0.05742513,-0.17227539,-33.29394237011232,-33.89335574999998,0.0
2mer-0+249,-0.12994708,2,-0.12994708,-34.02330278,8.687665e-05,12.814,11.948,11.948,0.0,-0.12994708,-0.12994708,-0.38984124,-33.42388945011232,-34.02330282999998,0.0
2mer-0+227,-0.01702514,2,-0.01702514,-34.04032792,8.388564e-05,12.29,12.088,12.088,0.0,-0.01702514,-0.01702514,-0.05107542,-33.44091459011232,-34.04032796999998,0.0
2mer-0+238,-0.03495675,2,-0.03495675,-34.07528467,8.367257e-05,13.019,12.099,12.099,0.0,-0.03495675,-0.03495675,-0.10487025,-33.47587134011232,-34.07528471999998,0.0
2mer-0+231,0.07894248,2,0.07894248,-33.99634219,8.318253e-05,13.545,12.122,12.122,0.0,0.07894248,0.07894248,0.23682744,-33.39692886011232,-33.996342239999976,0.0
2mer-0+283,-0.03587646,1,-0.01793823,-34.01428042,8.309678e-05,12.733,12.127,12.127,0.0,-0.01793823,-0.01793823,-0.10762938,-33.41486709011232,-34.014280469999974,0.0
2mer-0+228,-0.05804525,2,-0.05804525,-34.07232567,8.304549e-05,12.818,12.129,12.129,0.0,-0.05804525,-0.05804525,-0.17413575,-33.472912340112316,-34.072325719999974,0.0
2mer-0+271,0.06930023,2,0.06930023,-34.00302545,8.283846e-05,13.06,12.139,12.139,0.0,0.06930023,0.06930023,0.20790069,-33.40361211011231,-34.00302548999997,0.0
2mer-0+261,-0.03998837,1,-0.01999418,-34.02301963,8.261127e-05,12.846,12.15,12.15,0.0,-0.019994185,-0.019994185,-0.11996511000000001,-33.423606295112315,-34.02301967499997,0.0
2mer-0+294,-0.12441851,2,-0.12441851,-34.14743814,8.13449e-05,12.786,12.213,12.213,0.0,-0.12441851,-0.12441851,-0.37325553,-33.54802480511231,-34.14743818499997,0.0
2mer-0+269,-0.07931347,2,-0.07931347,-34.22675161,8.013701e-05,12.784,12.274,12.274,0.0,-0.07931347,-0.07931347,-0.23794041,-33.627338275112315,-34.22675165499997,0.0
2mer-0+245,0.03584724,2,0.03584724,-34.19090437,8.008824e-05,12.798,12.277,12.277,0.0,0.03584724,0.03584724,0.10754172000000001,-33.59149103511231,-34.19090441499997,0.0
2mer-0+255,-0.0893276,4,-0.1786552,-34.36955957,8.007384e-05,13.008,12.277,12.277,0.0,-0.1786552,-0.1786552,-0.26798279999999997,-33.770146235112314,-34.36955961499997,0.0
2mer-0+222,-0.0486297,2,-0.0486297,-34.41818927,7.957225e-05,13.066,12.303,12.303,0.0,-0.0486297,-0.0486297,-0.1458891,-33.81877593511231,-34.41818931499997,0.0
2mer-0+265,-0.11965805,4,-0.23931609,-34.65750536,7.801422e-05,13.022,12.384,12.384,0.0,-0.2393161,-0.2393161,-0.35897415,-34.05809203511232,-34.657505414999974,0.0
2mer-0+235,0.09568402,2,0.09568402,-34.56182133,7.628626e-05,12.843,12.477,12.477,0.0,0.09568402,0.09568402,0.28705206,-33.96240801511232,-34.561821394999974,0.0
2mer-0+240,0.05121195,2,0.05121195,-34.51060938,7.62586e-05,12.829,12.479,12.479,0.0,0.05121195,0.05121195,0.15363585,-33.911196065112314,-34.51060944499997,0.0
2mer-0+276,-0.11603945,2,-0.11603945,-34.62664883,7.583006e-05,13.314,12.502,12.502,0.0,-0.11603945,-0.11603945,-0.34811835,-34.02723551511232,-34.626648894999974,0.0
2mer-0+258,0.03308928,1,0.01654464,-34.61010419,7.568929e-05,13.315,12.51,12.51,0.0,0.01654464,0.01654464,0.09926784,-34.01069087511232,-34.610104254999975,0.0
2mer-0+263,0.01312146,2,0.01312146,-34.59698274,7.50191e-05,14.021,12.547,12.547,0.0,0.01312146,0.01312146,0.03936438,-33.99756941511232,-34.596982794999974,0.0
2mer-0+305,0.07019891,2,0.07019891,-34.52678383,7.470258e-05,13.745,12.565,12.565,0.0,0.07019891,0.07019891,0.21059673,-33.927370505112314,-34.52678388499997,0.0
2mer-0+320,0.08849068,2,0.08849068,-34.43829314,7.403197e-05,13.746,12.603,12.603,0.0,0.08849068,0.08849068,0.26547204,-33.838879825112315,-34.43829320499997,0.0
2mer-0+336,-0.08289136,1,-0.04144568,-34.47973882,7.308967e-05,13.065,12.657,12.657,0.0,-0.04144568,-0.04144568,-0.24867408,-33.88032550511232,-34.479738884999975,0.0
2mer-0+259,-0.03612807,2,-0.03612807,-34.51586689,7.275654e-05,13.102,12.676,12.676,0.0,-0.03612807,-0.03612807,-0.10838421,-33.916453575112314,-34.51586695499997,0.0
2mer-0+307,0.05109935,2,0.05109935,-34.46476754,7.252593e-05,13.536,12.689,12.689,0.0,0.05109935,0.05109935,0.15329805000000002,-33.86535422511231,-34.46476760499997,0.0
2mer-0+268,0.05124828,2,0.05124828,-34.41351925,7.249863e-05,13.589,12.691,12.691,0.0,0.05124828,0.05124828,0.15374484,-33.81410594511231,-34.41351932499997,0.0
